名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,1
伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,1
朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,1
伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,,,,,,1
长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,2
伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,,,,,,,,,2
朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,2
伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,2
长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,,,,,,3
伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,3
朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,3
伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,3
长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,4
伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,,,,,,,,,4
朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,4
伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,4
长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,5
伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,5
朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,5
伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,5
长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,6
伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,6
朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,6
伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,6
长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,7
伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,,,,,,,,,7
朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,7
伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,7
长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,8
伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,8
朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,8
伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,8
长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,9
伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,9
朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,9
伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,9
长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,10
伊力特酒文化产业园,http://travel.qunar.com/p-oi38943208-yilitejiuwenhuachanye,,伊力特酒文化产业园是国家AAAA级旅游景区，产业园位于可克达拉市，占地1600余亩。以伊犁河谷绿色、生态资源为依托，致力于打造集白酒生产、技术研发、文化展示、工艺体验、庄园休闲等功能于一体的4A级工业旅游园区。,,,--,,,,,10
朱雀湖公园,http://travel.qunar.com/p-oi37806787-zhuquehugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,10
伊水湖景区,http://travel.qunar.com/p-oi37213777-yishuihujingqu,,,,,0.0,,,具体收费情况以现场公示为主,,10
