名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
锡林郭勒大草原Xilingol Grassland,http://travel.qunar.com/p-oi10001256-xilinguoledacaoyuan,"

地址:
锡林郭勒盟锡林浩特市207国道附近

",锡林郭勒大草原位于内蒙古自治区锡林浩特盟境内，是世界闻名的大草原之一，也是我国四大草原——内蒙古草原的主要天然草场。锡林郭勒大草原不仅拥有美丽的草原自然风光、还有古朴的蒙古族风情、众多的文物古迹、悠久的历史文化以及宜人的避暑气候，吸引了众多前来赏景的游人。这里既有一望无际、空旷幽深的壮阔美，也有风吹草低见牛羊的动态美，又有蓝天白云、绿草如茵、牧人策马的人与自然的和谐美。繁花似锦的草原重现了“风吹草低见牛羊”的美景，九曲十八湾的锡林河像是飘落在草原上的洁白哈达，让人流连忘返。除此之外，来到锡林郭勒不可错过的就是这里的羊肉了。这里的羊常吃的牧草中含有一种叫沙葱的中草药，喝得是天然的溪水，是纯绿色食品。因此，肉味鲜美，不腻不膻、色香俱全。,全天开放,https://img1.qunarzz.com/p/tts4/1807/2c/0089e03270d89302.jpg_480x360x95_30c1fde1.jpg,4.5,建议游览时间：3天,,具体收费情况以现场公示为主,,1
乌拉盖草原Ulagai Prairie,http://travel.qunar.com/p-oi8672946-wulagaicaoyuan,"

地址:
锡林郭勒盟东北部（乌拉盖管理区委员会位于巴音胡硕镇）

",乌拉盖草原因乌拉盖河得名，是世界上保存完好的天然草原之一，有“天边草原”的美誉。境内有原始草原、湖泊、芍药沟、黄花沟等独特的草原风光自然景观和布林庙、成吉思汗边墙、固腊卜赛汗国际敖包等历史文化遗迹，还有独特的乌珠穆沁部落民俗风情文化。乌拉盖草原不仅以美丽著称于世，其历史文化资源也非常丰厚。位于乌拉盖管理区的乌拉盖河与其支流色也勒吉河汇合处，是一处闻名的古战场遗址。据记载，成吉思汗在统一蒙古诸部战斗中，就是在这片神奇的土地上，彻底歼灭了曾不可一世的宿敌——塔塔尔部，为统一蒙古大业扫清了一个巨大的障碍。乌拉盖河像长长的哈达飘扬在广阔的乌拉盖草原之上，成吉思汗在这里曾有感而发：“此处造化神功，碧水青山，必成繁盛之地。”美丽的乌拉盖河静静流淌在碧绿的草原上，也勾起了人们无限的遐想，乌拉盖草原也是众多摄影爱好者和影视剧取景的地方，电影《狼图腾》就是在这片草原上取景拍摄的。来到这片广袤神奇的天边草原，除了欣赏原生态的丘陵草原之美，一定要沿着＂苍狼之路”去登上可汗山，去看看蒙元帝王群雕。矗立在山顶的雕像是蒙古民族具代表性的伟人——元太祖成吉思汗和元世祖忽必烈，雕刻的栩栩如生，十分有观赏价值。,全天开放,https://img1.qunarzz.com/travel/d3/1808/5a/78f48300db643ab5.jpg_480x360x95_186e5520.jpg,4.5,建议游览时间：3天,一年四季皆可，春夏最佳。,具体收费情况以现场公示为主,,1
多伦湖景区Duolun Lake Scenic Area,http://travel.qunar.com/p-oi5860342-duolunhujingqu,"

地址:
多伦县大河口乡多伦湖景区


电话:
0479-6783355

",多伦湖风景区，前身是锡林郭勒草原上规模大的水利枢纽工程——西山湾水库，位于锡林郭勒盟多伦县境内。烟波浩渺的多伦湖，像是一块镶嵌在高山和草原中间的翡翠，山、湖、草原相映成趣。这里夏季温热多雨，秋季凉爽宜人，四季气温变化分明，自然景观丰富多彩，特别适于休闲度假和避暑。多伦湖盛产鲤鱼、鲫鱼等十几种营养丰富的淡水鱼。相传，原来多伦湖内并没有鲤鱼，是康熙皇帝来到多伦湖见偌大水面的湖中无鱼，便叫人用骆驼从黄河驮来数十尾鲤鱼，放养在湖中。至今人们仍把多伦湖称为...多伦湖风景区，前身是锡林郭勒草原上规模大的水利枢纽工程——西山湾水库，位于锡林郭勒盟多伦县境内。烟波浩渺的多伦湖，像是一块镶嵌在高山和草原中间的翡翠，山、湖、草原相映成趣。这里夏季温热多雨，秋季凉爽宜人，四季气温变化分明，自然景观丰富多彩，特别适于休闲度假和避暑。多伦湖盛产鲤鱼、鲫鱼等十几种营养丰富的淡水鱼。相传，原来多伦湖内并没有鲤鱼，是康熙皇帝来到多伦湖见偌大水面的湖中无鱼，便叫人用骆驼从黄河驮来数十尾鲤鱼，放养在湖中。至今人们仍把多伦湖称为鲤鱼泡子。景区建设了塞外长城、观音洞、厄莫山凉亭等多个景点，景区内有骑马、漂流、划船、游泳、垂钓等多个娱乐项目（娱乐项目需要另外付费），依山傍湖围绕着多伦湖还有一条环湖路，路边青草依依，环湖一周，多伦湖所有的美景都会尽收眼底，每年旅游黄金季节，这里举办的全内蒙古环多伦湖自行车赛，更是吸引众多的游客和选手。在景区内，游客还可以玩玩刺激的水上漂流活动。北岸码头，是乘船游玩多伦湖的出发地，可以从这里乘船畅游整个库区。过水凉亭距离北岸码头比较近，水位较高时，凉亭的基座会被水淹没，成为水上凉亭；水位较低时，凉亭会整体显现，成为岛中亭。,景区现在开放时间8:30至18:00,https://img1.qunarzz.com/travel/d9/1508/dc/1e052f72f49ad1.jpg_480x360x95_d0a52f31.jpg,4.5,建议游览时间：3小时 - 4小时,最佳旅游时间为每年夏季，尤其是6、7、8、9月份，但应注意防雨；秋季冬季较为寒冷，应注意保暖防寒。,40元,,1
贝子庙Beizi Temple,http://travel.qunar.com/p-oi5232371-beizimiao,,,,,,,,,,1
锡林郭勒草原,http://travel.qunar.com/p-oi5860228-xilinguolecaoyuan,"

地址:
内蒙古自治区锡林浩特市境内

",草原旅游资源丰富、以草原类型完整而著称于世，每当盛夏来临，风光迷人的乌珠穆沁草甸草原是一片绿色的海洋，高贵的芍药花与美的山丹花争奇斗妍，片片白云在无尽的蓝天中飘游，牧人策马，牛羊游动，加上蒙古包缕缕的炊烟与缓缓行驶的勒勒车，定会使溶入大自然的游人顿感心旷神怡，美不胜收。繁花似锦的灰腾锡勒典型草原重现风吹草低见牛羊的美景，锡林河九曲十八湾象是飘落在草原上的洁白哈达，使游客留连忘返。,全天,https://img1.qunarzz.com/travel/d6/1605/95/db7b73719105e1f7.jpg_480x360x95_bc29e490.jpg,4.8,建议游览时间：1天 - 2天,最佳旅游时间为每年夏季，尤其是6、7、8、9月份，但应注意防雨；秋季冬季较为寒冷，应注意保暖防寒。,免费,,1
锡林九曲Xilin Nine Bends,http://travel.qunar.com/p-oi5860346-xilinjiuqu,"

地址:
锡林浩特市郊东南13公里处

",锡林九曲位于锡林浩特市郊东南13公里处。锡林河这一河段，右岸坡陡，左岸坡缓，因而造成河床摆动频繁，留下较多河曲。在这里可以观赏到异常美丽的锡林河河曲，许多摄影爱好者都为这一美景创下佳作。1998年发行的锡林郭勒特种邮票小型张即以此处为背景。河床两侧河漫滩上生长着大量的芦苇及其它水生植物，增加了河曲的美感。在河曲的下游，即为锡林河水库，是垂钓爱好者的好去处。九曲河岸上有奇形怪状的基岩出露，尤如先人留给我们的巨大观景台，登高远望，河水清澈，绿草如茵，牛羊似珍珠般撒满两岸，这景色如诗如画，好一派北国锦秀江山的巨幅画卷。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1409/03/645091756c613d2bffffffffc8d65eac.jpg_480x360x95_a9a99826.jpg,3.5,建议游览时间：1小时,最佳旅游时间为每年的夏季，尤其是6、7、8、9月份，但应注意防雨；秋季冬季天气较为寒冷，应注意保暖防寒。,具体收费情况以现场公示为主,,1
蒙元文化苑（蒙元文化博物馆）Mengyuan Culture Garden (Mengyuan Culture Museum),http://travel.qunar.com/p-oi5860347-mengyuanwenhuayuan,,,,,,,,,,1
蒙古汗城Mongol Khan City,http://travel.qunar.com/p-oi5740682-mengguhancheng,,,,,,,,,,1
宝格达乌拉山,http://travel.qunar.com/p-oi5940877-baogedawulashan,"

地址:
内蒙古锡林郭勒盟阿巴嘎旗

",,全天开放,https://img1.qunarzz.com/travel/poi/201405/29/4f1801c5037890b9ddb12cfb.jpg_480x360x95_5bc38ec4.jpg,0.0,建议游览时间：1天 - 2天,最佳旅游时机是每年夏季，7、8、9月份，但应注意防雨；冬季较为寒冷，应注意保暖防寒。,免费,,1
喇嘛库伦庙,http://travel.qunar.com/p-oi7587228-lamakulunmiao,"

地址:
锡林郭勒盟东乌珠穆沁旗乌里雅斯太镇

",喇嘛库伦庙位于旗所在地乌里雅斯太镇，是蒙古地区喇嘛教“三大库伦”之一，又名“施集庙”，建寺主人为罗布宫其格拉希活佛。寺庙曾是东乌珠穆沁旗政府经济文化中心，是一座有着悠久历史的寺庙，喇嘛库伦庙由于历史原因，喇嘛库伦庙在“文化大革命”中全部被毁，在党的民族宗教政策下，于1984年开始恢复正常的宗教活动以来，库伦庙的宗教活动日益丰富起来，成为了本地及主周边地区民族宗教活动的重要场所之一，1992年在原址上修建二层藏式寺庙，现有喇嘛31名。2004年3月东乌旗内发生了5...喇嘛库伦庙位于旗所在地乌里雅斯太镇，是蒙古地区喇嘛教“三大库伦”之一，又名“施集庙”，建寺主人为罗布宫其格拉希活佛。寺庙曾是东乌珠穆沁旗政府经济文化中心，是一座有着悠久历史的寺庙，喇嘛库伦庙由于历史原因，喇嘛库伦庙在“文化大革命”中全部被毁，在党的民族宗教政策下，于1984年开始恢复正常的宗教活动以来，库伦庙的宗教活动日益丰富起来，成为了本地及主周边地区民族宗教活动的重要场所之一，1992年在原址上修建二层藏式寺庙，现有喇嘛31名。2004年3月东乌旗内发生了5.9级强烈地震，喇嘛库伦庙遭侵严重损坏，2004年7月，东乌旗委、政府结合东乌旗城镇基础设施建设总体规划和旅游业的发展要求，启动实施了喇嘛库伦庙修缮工程，于2006年10月全部竣工，成为北方一座规模宏大的寺庙，目前已向游客开放。,9:00-17:00,https://img1.qunarzz.com/travel/poi/1412/d9/d98e38e9f981833ccdb.jpg_480x360x95_ed647ebb.jpg,0.0,建议游览时间：1小时 - 2小时,,免费,,1
