城市名称,平均气温
七台河市,1.66534558358224
万宁市,23.8697752276605
三亚市,24.5609570517788
三明市,16.5389476551687
三沙市,25.7842814841835
三门峡市,12.1198194099732
上海市,14.79119665125
上饶市,15.1419055782867
东方市,24.6630793950112
东莞市,21.4041431688168
东营市,11.7241014666827
中卫市,9.2758549226889
中山市,21.4956320453555
临夏回族自治州,4.48667676898091
临汾市,11.414299061978
临沂市,12.6796511412057
临沧市,17.7022399285201
临高县,23.5883465727972
丹东市,5.71270158429786
丽水市,15.901719267864
丽江市,13.318581869667
乌兰察布市,4.21106027863531
乌海市,8.09181647560971
乌鲁木齐市,8.3512625690541
乐东黎族自治县,24.4257476031884
乐山市,9.04383529577808
九江市,13.9211553588226
云浮市,20.6270897371005
五家渠市,8.00685532377563
五指山市,24.2054068159838
亳州市,14.8521709007367
仙桃市,15.5501948034173
伊春市,-0.124757256840449
伊犁哈萨克自治州,7.54136800152607
佛山市,21.0878645911074
佳木斯市,0.989596211327526
保亭黎族苗族自治县,24.0494754806452
保定市,9.88414596013322
保山市,15.5529881750696
信阳市,15.168720158669
儋州市,23.7143741745623
克孜勒苏柯尔克孜自治州,11.3805777302457
克拉玛依市,6.95160177992562
六安市,14.8928534531426
六盘水市,13.2028054038959
兰州市,5.93902696394025
兴安盟,1.07683127200834
内江市,16.3090069401262
凉山彝族自治州,12.4337816591803
包头市,4.74889731763262
北京市,9.2129740400881
北屯市,4.95159730287981
北海市,21.1218545158658
十堰市,14.0837569860986
南京市,14.6661919452539
南充市,16.4538327190957
南宁市,19.4442527004194
南平市,16.5393479657418
南昌市,15.5521558669046
南通市,14.0723171068695
南阳市,14.3088255917205
博尔塔拉蒙古自治州,8.16156983528878
厦门市,19.086993980161
双河市,7.83874695574335
双鸭山市,1.2589459447199
可克达拉市,9.85402955283378
台州市,15.0839678683948
台湾省,22.2927714283828
合肥市,14.7433259798484
吉安市,16.4883578123907
吉林市,2.71902172127631
吐鲁番市,11.3019792811904
吕梁市,9.94524902554956
吴忠市,9.37364553445084
周口市,14.6386063361637
呼伦贝尔市,-2.53196663368618
呼和浩特市,5.88751572070043
和田地区,11.4828620260136
咸宁市,15.3698162079044
咸阳市,12.7137040782097
哈密市,10.0826306810602
哈尔滨市,1.38409368008271
唐山市,9.7876946618174
商丘市,14.3449692463694
商洛市,12.0732987881601
喀什地区,12.0188871165825
嘉兴市,15.1865209397745
嘉峪关市,7.83210175958683
四平市,4.30827867362798
固原市,8.77497323117556
图木舒克市,11.5947642249452
塔城地区,6.38102024242283
大兴安岭地区,-3.57053380340147
大同市,6.12436219949221
大庆市,2.03269137029271
大理白族自治州,15.0975430500287
大连市,7.85248336599446
天水市,10.1838074684603
天津市,11.1118218005483
天门市,15.355884747721
太原市,9.91348113033184
威海市,9.40217341206824
娄底市,14.3997423293889
孝感市,15.4764678165235
宁德市,16.6635470896639
宁波市,14.8651518394233
安庆市,14.2959690114588
安康市,14.6203825906289
安阳市,13.4837036506912
安顺市,14.6375146879371
定安县,23.7692259301011
定西市,6.0764568632543
宜宾市,15.0517579933887
宜昌市,14.9779410243574
宜春市,15.5938972044762
宝鸡市,11.9488743301089
宣城市,13.3819523418762
宿州市,14.305112118972
宿迁市,13.598009135497
屯昌县,23.7428544522413
山南市,4.93471192784323
岳阳市,15.5875424653566
崇左市,20.0422715579716
巴中市,15.5919467215922
巴彦淖尔市,5.85011072384323
巴音郭楞蒙古自治州,8.49422411868115
常州市,14.7409150035121
常德市,15.1291235964227
平凉市,9.66741791530641
平顶山市,14.3609589351101
广元市,15.1586264094423
广安市,16.4295511360233
广州市,20.8297596236261
庆阳市,9.87832949007797
廊坊市,11.1363456102808
延安市,10.0608555539121
延边朝鲜族自治州,2.42658737606006
开封市,14.3606666963693
张家口市,6.37569828040098
张家界市,14.9636702873602
张掖市,6.58010876091828
徐州市,13.7422489630757
德宏傣族景颇族自治州,17.2472590067297
德州市,12.202954341633
德阳市,15.3164907720941
忻州市,7.54626158399514
怀化市,14.8720439087509
怒江傈僳族自治州,11.5634045848548
恩施土家族苗族自治州,15.2247877893637
惠州市,20.860699641687
成都市,15.0338784063341
扬州市,13.9854186159224
承德市,5.74614288050902
抚州市,16.298962621999
抚顺市,4.84228485664818
拉萨市,5.07178735800273
揭阳市,20.516754378278
攀枝花市,15.6218196563017
文山壮族苗族自治州,16.9791313493005
文昌市,23.527118893334
新乡市,13.8170032337155
新余市,15.8784215211577
新星市,10.3056544815989
无锡市,14.7738416233343
日喀则市,3.0136951909241
日照市,11.8071684833249
昆明市,15.0398221925943
昌吉回族自治州,7.29567808741115
昌江黎族自治县,24.2893582187823
昌都市,5.18205177363953
昭通市,12.5341823924448
晋中市,10.2466819951443
晋城市,12.3296537475325
普洱市,19.0127092893124
景德镇市,15.0794627484747
曲靖市,13.7767440839234
朔州市,6.56551708161666
朝阳市,7.07357679336672
本溪市,5.64238978875615
来宾市,18.3200730690946
杭州市,14.7266481673736
松原市,3.38097698301948
林芝市,6.17161056192577
果洛藏族自治州,-0.42160376395468
枣庄市,13.2673703544331
柳州市,16.7962473777151
株洲市,14.9811979133417
桂林市,16.5754105612297
梅州市,19.4869992963556
梧州市,19.3426208104497
楚雄彝族自治州,17.6034068644096
榆林市,8.91935260280523
武威市,5.76991848123381
武汉市,15.6012977564666
毕节市,12.3578025018355
永州市,16.28716182304
汉中市,14.17843891855
汕头市,20.6286380528881
汕尾市,20.9516922612313
江门市,21.3001233406729
池州市,13.2832608883335
沈阳市,6.02311538192173
沧州市,11.9740646619355
河池市,17.6849779156953
河源市,19.547154319203
泉州市,16.4921329999618
泰安市,10.745843245295
泰州市,13.9857074259159
泸州市,15.2811696738264
洛阳市,13.3794012023308
济南市,11.3607258224503
济宁市,13.0313170999264
济源市,13.1322764227114
海东市,3.84727933185382
海北藏族自治州,2.90529000274126
海南藏族自治州,1.44449003127475
海口市,23.5065065532619
海西蒙古族藏族自治州,1.7741787043754
淄博市,11.9185144072195
淮北市,14.5561305264258
淮南市,14.8131220909115
淮安市,13.6945862679751
深圳市,21.5044844900405
清远市,18.9367215398996
温州市,16.0892512872822
渭南市,10.2232241453813
湖州市,14.8190984352645
湘潭市,13.4532523667749
湘西土家族苗族自治州,14.6167001020656
湛江市,22.1213367441896
滁州市,14.444726733811
滨州市,11.9954099724214
漯河市,14.584042009317
漳州市,18.8561582379527
潍坊市,11.874182451958
潜江市,15.4834059272422
潮州市,20.0442105528243
澄迈县,23.5710017318677
濮阳市,13.315472833563
烟台市,10.5695465323477
焦作市,13.4764418833359
牡丹江市,1.76803164880149
玉林市,20.4729272171794
玉树藏族自治州,-0.841955592206487
玉溪市,18.9398931821322
珠海市,21.4743467618173
琼中黎族苗族自治县,23.8253563425657
琼海市,23.9622162044016
甘南藏族自治州,3.36718976565942
甘孜藏族自治州,5.23832769241031
白城市,3.47208920211478
白山市,2.81748485816626
白沙黎族自治县,23.8371555016961
白银市,6.67903167841362
百色市,18.1100290965587
益阳市,15.0441899852534
盐城市,13.1133141310236
盘锦市,7.17783657064299
眉山市,12.5591590371783
石嘴山市,8.90134860335505
石家庄市,11.2495068977869
石河子市,6.86062763805883
神农架林区,14.5701788991209
福州市,16.9763187181848
秦皇岛市,8.72984666177578
红河哈尼族彝族自治州,18.475923651974
绍兴市,15.1349995389177
绥化市,0.660066413336615
绵阳市,14.0457490442795
聊城市,12.7045579581944
肇庆市,20.1157031420226
胡杨河市,6.93751784880067
自贡市,15.5344060617343
舟山市,14.429316223272
芜湖市,14.3560746296018
苏州市,14.8140601299348
茂名市,21.2530616148753
荆州市,15.5153984017892
荆门市,15.1242913455578
莆田市,16.4062893728484
菏泽市,13.5956797466591
萍乡市,15.4714952577177
营口市,7.19512733041308
葫芦岛市,7.85187401692282
蚌埠市,14.6148774828741
衡水市,12.1421608877755
衡阳市,13.6061433884235
衢州市,15.0675274753148
襄阳市,14.824160205036
西双版纳傣族自治州,21.388905983528
西宁市,4.37355409191132
西安市,13.2374239353551
许昌市,14.4958110534919
贵港市,19.4214524731993
贵阳市,13.545075845705
贺州市,18.3097795294165
资阳市,16.0362703117544
赣州市,17.5709904085767
赤峰市,4.06780156470418
辽源市,4.25968704836651
辽阳市,6.34423191194231
达州市,15.769869798813
运城市,12.5897277774067
连云港市,12.7224096616748
迪庆藏族自治州,8.41009671109094
通化市,4.3297289019253
通辽市,5.13816252959821
遂宁市,16.2098802345055
遵义市,14.1414083039952
邢台市,12.4975326677501
那曲市,1.31143100360779
邯郸市,12.8633589905243
邵阳市,15.058360973695
郑州市,14.2557506467617
郴州市,15.9714869210091
鄂尔多斯市,7.42113656567441
鄂州市,15.2388864140471
酒泉市,6.69852841512995
重庆市,15.558096815986
金华市,15.3292400461548
金昌市,5.80666053879805
钦州市,20.3086580737644
