城市名称,名字,环境环保,人文底蕴,气候,美食
七台河,石龙山,2,1,0,0
七台河,西大圈,0,0,0,0
七台河,挠力河,0,0,0,0
七台河,仙湖洞,0,0,0,0
七台河,七台河市博物馆,0,0,0,0
七台河,马鞍山林场,0,0,0,0
七台河,七彩城QiCai Cheng,0,0,0,0
七台河,欣源商业街XinYuan ShangYe Jie,0,0,0,0
七台河,黑龙江七台河步行街HeiLongJiang QiTaiHe BuXingJie,0,0,0,0
七台河,七台河烈士陵园Qitaihe Martyrs Cemetery,0,0,0,0
七台河,勃利森林公园Boli Forest Park,3,0,0,0
七台河,新发古城遗址Xinfa Ancient City Ruins,0,0,0,0
七台河,勃利密塞Bolimi Fortress,0,0,0,0
七台河,勃利硅化木群Petrified Woods,0,0,0,0
七台河,茄子河大砬子峰Qiezihe Dalizi Peak,0,0,0,0
七台河,亿达广场Yida Square,0,0,0,0
七台河,三宝寺Sanbao Temple,0,0,0,0
七台河,矿工广场Qitaihe Kuanggong Square Management Office,0,0,0,0
七台河,极灵寺Jiling Temple,0,0,0,0
七台河,桃山基督教会Tao Mountain Christ Church,0,0,0,0
七台河,风雅园Fengya Garden,0,0,0,0
七台河,龙泉寺Longquan Temple,0,0,0,0
七台河,南山公园Nan Mountain Park,0,0,0,0
七台河,东北亚美食广场Dongbeiya Meishi Square,0,0,0,0
七台河,七台河市群众艺术馆QiTaiHeShi QunZhong YiShuGuan,0,0,0,0
七台河,七台河科技馆Qitaihe Science and Technology Museum,0,0,0,0
七台河,七台河博物馆Qitaihe Museum,0,3,0,0
七台河,大陆美术,0,0,0,0
七台河,七台河市图书馆Qitaiheshi Library,0,5,0,0
七台河,权健饮料销售部,0,0,0,0
七台河,大友美术,0,0,0,0
七台河,红象乐园,0,0,0,0
七台河,仙洞山风景区Xiandongshan Scenic Area,3,0,0,0
七台河,万宝湖儿童公园Wanbaohu Children's Park,0,0,0,0
七台河,桃山公园Taoshan Park,1,1,0,0
七台河,红星森林公园Hongxing Forest Park,1,1,0,0
七台河,石龙山森林公园Shilongshan National Forest Park,2,0,0,0
七台河,西大圈森林公园Xidaquan National Forest Park,1,0,0,0
万宁,加井岛Jiajing Island,1,0,0,0
万宁,石梅湾Shimei Bay,2,0,0,0
万宁,巴厘村Bali Village,0,4,0,4
万宁,神州半岛Shenzhou Peninsula,0,0,0,0
万宁,大花角Dahua Jiao,2,0,0,0
万宁,兴隆热带植物园Xinglong Tropical Botanical Garden,6,2,0,1
万宁,南燕湾Nanyan Bay,0,0,0,0
万宁,"万宁山钦湾Shanqin Bay, Wanning",0,0,0,0
万宁,大洲岛Dazhou Island,0,0,0,0
万宁,日月湾Riyue Bay Haimen Tourism Area,0,1,0,1
万宁,亚洲风情园,1,3,0,1
万宁,神州半岛灯塔,0,0,0,0
万宁,洲仔岛Zhouzai Island,0,0,0,0
万宁,东山岭文化旅游区Dongshan Ridge Cultural Tourism Area,0,0,0,0
万宁,忆云山水温泉,0,0,0,0
万宁,东南亚风情村,2,3,0,2
万宁,牛岭Niuling Mountain,0,0,0,0
万宁,青云塔,0,3,0,0
万宁,山根兴隆咖啡驿站,0,1,0,1
万宁,神龟山,1,1,0,0
万宁,湾头伊斯兰教徒墓葬群,0,0,0,0
万宁,六连岭Liulian Mountain,0,0,0,0
万宁,亭湖宾榭,2,0,0,2
万宁,春园海,0,2,0,2
万宁,石海湾青皮林自然保护区,3,0,0,0
万宁,白水岭热带森林,7,0,0,0
万宁,南燕湾高尔夫球会,2,0,0,0
万宁,桥海牧场,0,0,0,0
万宁,正大·兴隆咖啡产业园,0,0,0,0
万宁,爱情谷,0,0,0,0
万宁,桥海村,1,0,0,0
万宁,SHAKA SURF沙卡冲浪（神州半岛店）,0,0,0,0
万宁,蓝色海岸冲浪俱乐部,0,0,0,0
万宁,保定湾,0,0,0,0
万宁,鼎睿蔚蓝潜水俱乐部,0,0,0,0
万宁,日月湾海岛教堂,0,0,0,0
万宁,巧克力小镇,1,1,0,0
万宁,海南兴隆侨乡国家森林公园,0,0,0,0
万宁,兴隆鳄鱼谷,0,0,0,0
万宁,日月湾铜铁岭仙女潭瀑布,0,0,0,0
万宁,太阳河景观大桥,0,0,0,0
万宁,溪边村,0,0,0,0
万宁,燕子洞景区,0,0,0,0
万宁,太阳河,0,0,0,0
万宁,山钦古庙,0,0,0,0
万宁,乌场大海,0,0,0,0
万宁,兴隆华侨农场,0,0,0,0
万宁,兴隆有机咖啡园,0,0,0,0
万宁,中国书画艺术馆,0,0,0,0
万宁,西岭公园,0,0,0,0
万宁,港北渔港,0,0,0,1
万宁,奥特莱斯文化旅游区,4,2,0,2
万宁,万宁市中队农场Wanning Squadron Farm,0,0,0,0
万宁,沙帽村农场,0,0,0,0
万宁,阳江村农场Yangjiang Village Farm,0,0,0,0
万宁,排坡村农场Paipo Village Farm,0,0,0,0
万宁,"万宁西门婆祖庙Pozu Temple, West Gate of Wanning",0,0,0,0
万宁,春园湾Chunyuan Bay,0,0,0,0
万宁,兴隆东南亚风情村Xinglong Southeast Asian Style Village,0,0,0,0
万宁,万宁市博物馆Wanningshi Museum,0,2,0,0
万宁,海南昊天艺术博物馆Hainanhaotian Art Museum,0,0,0,0
万宁,兴隆森林公园,0,0,0,0
万宁,万宁市林业局青皮苗圃场,0,0,0,0
万宁,万州塔Wanzhou Tower,0,0,0,0
万宁,万宁东兴亭湖宾榭Wanning Lakeside Dongxing Pavilion,0,0,0,0
万宁,神龟山Shengui Mountain,1,1,0,0
万宁,后鞍岭Houanling Mountain,0,0,0,0
万宁,文通村Wentong Village,0,0,0,0
万宁,礼纪青皮林自然保护区Liji Vatica Forest Nature Reserve,0,0,0,0
万宁,华润石梅湾海滩Huarun Shimeiwan Beach,0,0,0,0
万宁,长丰足球训练基地,0,0,0,0
万宁,深蓝海洋深层水股份有限公司,0,0,0,0
万宁,海南三宝艺术收藏馆,0,0,0,0
万宁,体育运动中心,0,0,0,0
万宁,"分界洲岛+海豚表演Dolphin Show, Boundary Island",2,1,0,0
万宁,万宁市档案馆(坪州地铁配送点),0,0,0,0
万宁,景天大剧场Jingtian Grand Theater,0,0,0,0
万宁,兴隆热带经济作物园Xinglong Tropical Commercial Crop Garden,1,0,0,0
万宁,内峙岛Neishi Island,1,0,0,0
万宁,尖岭森林自然保护区Jianling Forest Nature Reserve,0,0,0,0
万宁,新潭湾Xintan Bay,0,0,0,0
万宁,春园海风景区Chunyuanhai Sceneic Area,0,0,0,0
万宁,日月湾南海渔家文化旅游区,0,9,0,1
万宁,海南天涯热带雨林博物馆Hainan Tianya Tropical Rainforest Museum,0,1,0,0
万宁,兴隆热带花园Xinglong Tropical Garden,12,0,0,0
万宁,兴隆绿道,0,0,0,0
万宁,万宁老街,0,3,0,0
万宁,中国龙舟小镇,0,1,0,0
万宁,兴隆华侨橡胶博物馆Xinglong Overseas Chinese Rubber Museum,0,3,0,0
万宁,兴隆南药植物园Xinglong South Medicine Botanical Garden,1,0,0,1
万宁,日月湾南海渔家文化旅游区Riyue Bay Nanhai Tourist Area of Fisherman Culture,0,9,0,1
万宁,兴隆热带雨林观赏区,3,0,0,0
万宁,港北小海,0,0,0,0
万宁,文通村,0,0,0,0
三亚,西岛West Island,0,0,0,0
三亚,大东海Dadonghai,2,0,0,0
三亚,三亚游艇出海,0,0,0,0
三亚,蜈支洲岛Wuzhizhou Island,1,1,0,0
三亚,皇后湾Queen Bay,0,0,0,0
三亚,亚龙湾热带天堂森林公园Yalong Bay Tropical Paradise Forest Park,6,6,1,4
三亚,椰梦长廊Coconut Dream Corridor,3,1,0,0
三亚,三亚亚特兰蒂斯失落的空间水族馆The Lost Chambers Aquarium (Sanya),0,0,0,0
三亚,亚龙湾Yalong Bay,0,0,0,0
三亚,后海村Houhai Village,1,0,0,3
三亚,海棠湾Haitang Bay,1,0,0,0
三亚,亚龙湾国际玫瑰谷Yalong Bay Rose Valley,1,1,0,0
三亚,天涯海角Tianya Haijiao,0,0,0,1
三亚,凤凰岛Fenghuang Island,0,1,0,0
三亚,三亚千古情Sanya Romance Park,0,0,0,0
三亚,蝴蝶谷Butterfly Valley,4,0,0,0
三亚,小东海Xiaodonghai,1,0,0,0
三亚,第一市场First market,0,0,0,1
三亚,情人岛Lover Island,2,0,0,0
三亚,三亚湾Sanya Bay,0,0,0,0
三亚,南山文化旅游区Nanshan Cultural Tourism Zone,0,0,0,0
三亚,亚龙湾中心广场Yalong Bay Central Square,1,2,2,0
三亚,亚龙湾贝壳馆Yalong Bay Shell Museum,1,0,0,0
三亚,凤凰岭海誓山盟景区Sanya Phoenix Hill Park,1,2,0,0
三亚,椰子洲岛Coconut Chau,0,0,0,0
三亚,太阳湾路Sun Bay Road,0,0,0,0
三亚,天涯镇(蓝白小镇)Tianyazhen,0,0,0,0
三亚,崖州古城Yazhou Ancient City,0,5,0,0
三亚,五指山Wuzhishan,0,0,0,0
三亚,天涯镇,0,0,0,0
三亚,亚龙湾滨海世界Yalong Bay Ailifang Marina Park,0,1,0,1
三亚,南山寺Nanshan Temple,0,0,0,0
三亚,鹿回头风景区Luhuitou Scenic Area,0,4,0,0
三亚,大小洞天Daxiaodongtian Area,0,5,0,0
三亚,海月广场Haiyue Square,0,0,0,0
三亚,情人湾Lover Bay,0,0,0,0
三亚,美丽之冠文化会展中心Beautiful Crown Culture Exhibition Center,0,2,0,0
三亚,黎村苗寨Li Village Miao Village,0,0,0,0
三亚,三亚热带雨林广场Sanya Tropical Rainforest Square,0,0,0,0
三亚,长寿谷Longevity Valley,0,2,0,0
三亚,南山不老松,7,0,0,0
三亚,小月湾Little Moon Bay,4,0,0,0
三亚,观日岩Sunrising Rock,1,0,0,0
